Project	Variant_Count	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94
acbc_mskcc_2015	20.083333333333332	0.07788630179391909	0.0	0.0	0.0	0.0	0.07095472986952416	0.015615587175887694	0.0	0.0	0.0	0.0	0.0	0.0	0.02958563297027896	0.0	0.0	0.0	0.0	0.0	0.011982309914367583	0.0374132177468385	0.02252835433423725	0.046008447428392496	0.0	0.005506124890116592	0.0126972203701105	0.03652265280577633	0.0053144012977955	0.008535203540408166	0.017763861723779417	0.012694380944426584	0.0	0.0	0.008406968663800583	0.0	0.0	0.02612262253851258	0.030086964198822164	0.036143310061946585	0.04623629699292033	0.0	0.0	0.0	0.0	0.005784092962593592	0.019832593811357782	0.0	0.0	0.0	0.0263297208241995	0.0	0.0	0.007400578621482916	0.0	0.005047048662907516	0.0	0.006622427288074291	0.0058831794015735675	0.008431248295665	0.0	0.005891661076744267	0.0	0.0	0.0	0.01693905536716517	0.0	0.005852711676700817	0.036456033388668416	0.0	0.0	0.19553902456157757	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acc_2019	9.02407221664995	0.038610372698260155	0.0022552839349567035	0.0018607399454422296	0.0026506609078322378	0.0001299488268075396	0.03653465113733578	0.008177242180120739	0.02393362036308596	0.006786808576552664	0.011546668083630706	0.0022974044407460485	0.000571229671411966	0.009670933268002288	0.06008716999117956	0.0001176581020401695	9.034486570542918e-05	0.005633064849625022	0.0018843310045619276	0.0018643667520556113	0.0023567819611489647	0.06634653622721609	0.023707324084753914	0.009985996195774501	0.005473872557829925	0.005170276900158766	0.03767662242138727	0.005527983925675881	0.01072632841454471	0.009745130492391356	0.006383829337163084	0.01466165506148595	0.00271981754396607	0.013368724276688932	0.0020425492404491648	0.004691546397603752	0.0037241087184187002	0.02382905782662555	0.024966580155260706	0.02200255166046479	0.0007188086802403506	0.0	0.002988182076569667	0.00012742373386994785	0.003927391964601145	0.001568922624417869	0.018774052935167648	0.001358004176322175	0.0005972276805951098	0.014057131141890526	0.0026243249847280616	0.010042124955857584	0.00012884694938051055	0.010225577820716262	0.0027795785201642077	0.01659207305007916	0.0009491683619144899	0.020463810081772553	0.010455025044650929	0.010402298230943841	0.006346927648007394	0.02276933344358402	0.0013492390558354416	0.0	0.013223652283558436	0.010885912829712503	0.007966748007518688	0.010486759650630107	0.010380074626300513	0.0001396833109182648	0.027316943486079825	0.18526794667039537	0.015739074130610133	0.004490095640214618	0.00414746006390042	0.0005709196609442749	0.0007981158933448768	0.0032088913789494033	0.0063509754174618125
acc_tcga	203.0	0.056397905941821855	0.0009428201422991344	0.0	0.011436755997634256	0.007487533935758905	0.02651317009400603	0.0035234086832647577	0.0055838852951598334	0.0	0.0008121467047710688	0.0	0.0	0.0	0.002814761060167962	0.0	0.0	0.0007111371053864789	0.0011367545847386666	0.002777741933919153	0.0006789438942812789	0.08192175317985738	0.007859078600749787	0.0016056272115916803	0.0	0.004876156077371167	0.00842046229321032	0.0023772552853552568	0.005264857000541893	0.0	0.004262479179041001	0.06952783000035648	0.0009801075544760677	0.013626145502393255	0.0	0.0	0.008267717844894525	0.002383224695742878	0.010684893347898535	0.000875776075126539	0.008289031503902923	0.0	0.006169067188231689	0.006530970133784879	0.0	0.0	0.0694669607159585	0.0	0.0	0.0019996269084708667	0.006024919852171398	0.0	0.0	0.013134239204928533	0.0	0.0	0.0	0.0032213564000059553	0.0	0.0011773594154632333	0.0	0.08946321492368345	0.0016034625840366356	0.0	0.0015839141210944733	0.002990607972170951	0.0009140606027719534	0.0007459487227774033	0.014003041300462349	0.0	0.0084352837550067	0.1776411422898334	0.0	0.0008862814298530232	0.0	0.0	0.002617221678470717	0.0	0.0020148641004105777
acc_tcga_pan_can_atlas_2018	120.73626373626374	0.11116431087321277	0.01115857705189757	0.008031215758610483	0.015236469073874144	0.007201872327650437	0.03154466156121988	0.01524145340586508	0.012577149097855931	0.0014570724886355053	0.008901594627402172	0.003122340261714588	0.0	0.0017735818101515277	0.01946290953232423	0.0	0.001933864985000589	0.0	0.0017099875555703766	0.02584912525134549	0.0	0.048946507430701454	0.023231338925501104	0.00916561400546321	0.0014876278095258242	0.011918762111504713	0.01255879370094461	0.013723302881048218	0.011630859115869665	0.003749279089246036	0.0030461775431788137	0.026455487745895883	0.0026764995058810134	0.0027208110264320307	0.0012303661099714066	0.0017316357238652857	0.012118888790199758	0.012128893971474285	0.008560121671286752	0.008397043088461866	0.0038826451340035605	0.0	0.01051747915137894	0.01145416909848355	0.0008949337434589462	0.0017322685812037196	0.03253108873471153	0.009734661548378636	0.0012128183153937583	0.013425205595238236	0.001730024840535868	0.0009198915096054385	0.0025524300259779057	0.009891064278578877	0.0	0.001426688562938899	0.0	0.020388520363834487	0.0037148172394571737	0.009062269903275575	0.006796208806611909	0.015841527327612133	0.0	0.0	0.004088247775318198	0.013186729364176069	0.01242517528153763	0.0	0.005877480735992723	0.0	0.03645688166251144	0.07717714504929532	0.007175553608505318	0.0019906492053828307	0.0	0.0025452213455026164	0.0038276607191575084	0.006875374423061774	0.003969291813740212
acyc_fmi_2014	1.3	0.0	0.0	0.0	0.0	0.0	0.0522788801919	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.07918378473330459	0.0	0.0	0.01987734953384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00773375560093185	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1431717919942134	0.0	0.0930725082177912	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0452864016526464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011541806353140099	0.0	0.0	0.0	0.0	0.0	0.14772111980810002	0.0	0.0	0.1	0.0	0.0	0.0	0.0
acyc_mgh_2016	145.3	0.09319817374285573	0.0	0.0	0.0	0.0131892198462501	0.12808983980232505	0.008260136601371041	0.030374971038119158	0.0	0.02567735726355856	0.0	0.0	0.0	0.00850922027611741	0.0	0.0	0.0	0.019794442287963298	0.0	0.0	0.0584899129979641	0.0401214590540262	0.0	0.0	0.0	0.0	0.0	0.0	0.0060842183112644905	0.0	0.006717261298598639	0.0	0.0	0.0	0.0	0.0	0.0	0.014839629893185099	0.0	0.0	0.0	0.0	0.0	0.0137262652864923	0.0	0.00704606689522128	0.0	0.0	0.0	0.029374819085654293	0.0	0.0	0.055648630226263394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10208793741270461	0.0	0.0	0.00669642929638455	0.0	0.0	0.0	0.0	0.0	0.033030207824481725	0.13603075994294928	0.0155542789819781	0.0	0.0	0.0	0.0	0.0	0.0
acyc_mskcc_2013	11.474576271186441	0.05983601366948247	0.0033845458788064743	0.003008563397605271	0.010621156752099289	0.0	0.044658241279208685	0.010918153094992746	0.010535369900404015	0.0023485871367789693	0.021168574360266187	0.002324545477906237	0.0023166845882352373	0.012610961259338142	0.04137388535056957	0.0	0.0	0.0034124781310947115	0.00608936948908156	0.006208367743841813	0.005364718552672153	0.05118583754422747	0.03105176999671289	0.020223168914153836	0.0019664787805779324	0.006207975531334712	0.00955991694873201	0.01126147643454421	0.017151220209091288	0.009962337138237813	0.0033903129768051527	0.02487160433484496	0.0032105746756590677	0.002658411504797932	0.005759027912358762	0.0013381586672261	0.005408963665591847	0.02482125375857792	0.011503472839178087	0.017856770362212514	0.0	0.0	0.0	0.0	0.014785878625113644	0.0012760219102447322	0.03650975986114151	0.0	0.006211719705239037	0.02958670247863781	0.0	0.005787713702625628	0.0	0.014943346172697254	0.0012710801450861204	0.006232771065208116	0.0014885352425669323	0.01365138935681186	0.008547510203758593	0.007094382268374634	0.00505134722427378	0.01914505501477321	0.0	0.0	0.035697412902733365	0.00563382159892344	0.00480608781417947	0.0013696478092881693	0.014222116691987299	0.0	0.03133295865386045	0.1322840276501223	0.02624323912876486	0.0	0.0056082138316801014	0.0025657488871987117	0.0	0.009975854372833754	0.0046678843722924405
acyc_sanger_2013	10.708333333333334	0.11082418962283898	0.0	0.0	0.0	0.0	0.04843696543949113	0.0077222415868886665	0.011745638637517708	0.007534807471045791	0.01617413039498621	0.0	0.0	0.010357798133138092	0.056205531270248986	0.0	0.0	0.004169434648177209	0.0	0.018180226724009502	0.0	0.07115212478249079	0.030222767062626374	0.024776867889272598	0.0	0.003954364774823317	0.03364770486107233	0.0	0.011366946192625791	0.018251489107328725	0.0	0.036971634332035486	0.0	0.0030494755524791083	0.003927235171431945	0.005238074857865208	0.017813334691266	0.010429536902059874	0.010840946891693293	0.013867834601008417	0.0	0.0	0.0	0.0	0.0	0.0080494526234845	0.004379433653114875	0.0	0.0	0.0	0.0	0.013968224930404291	0.0	0.0034647108525586792	0.0	0.013566358991002376	0.0	0.0045937413720291255	0.0	0.009621333305372124	0.018267755630442663	0.030498023314797895	0.0	0.0	0.0	0.010719962243285813	0.017021435767792206	0.0	0.002788923959054612	0.0	0.022465642657067426	0.19655375195758917	0.0077399138379339585	0.0	0.0037342929701295585	0.0	0.0	0.0	0.0
all_phase2_target_2018_pub	4.959731543624161	0.054006719728352755	0.002195024586007181	0.0	0.002703911995376698	0.0	0.042746809312874695	0.004497253284821047	0.022403953302837322	0.005935807892104067	0.028093469160764457	0.0	0.0025646006889979934	0.006248748162294088	0.07382223026734999	0.0	0.0	0.013511152641368615	0.0012937566046544765	0.008213833316014114	0.0	0.06832463757734895	0.022605634344201	0.01500246147303596	0.006589753112782075	0.005170154554849739	0.01197391062121661	0.0012286814012235571	0.009853085981922227	0.008845516793940343	0.0024330851222279597	0.01498582834897759	0.0009086885474031074	0.025621787258915413	0.0015791907919684577	0.010085017518591456	0.002377568465422114	0.02223841382197417	0.01088295787092682	0.017322035451143112	0.0018462900194334696	0.0	0.0011645503301264517	0.0	0.0027289282407071003	0.0	0.009090434725404953	0.0023232863447360604	0.0	0.03360809442369837	0.002721001025635718	0.01505781775521762	0.0	0.014950562742570997	0.006711409395973154	0.006166105704201664	0.0	0.018406353170541418	0.009301060850097154	0.005441269585632544	0.0	0.035621616629158005	0.0	0.0	0.007886413265052723	0.014360229144379955	0.002962476358790678	0.0	0.009509173341009876	0.0	0.033450517483141595	0.19987350177286395	0.019512512063169046	0.0	0.0	0.0	0.0	0.0036845136402885643	0.004889565301578403
all_stjude_2015	2.0555555555555554	0.0	0.0	0.0	0.0	0.0	0.013339437591644666	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.027777777777777776	0.005840401911152556	0.0	0.06647109092191865	0.0	0.0	0.0107384626437765	0.027777777777777776	0.0	0.009326535811109055	0.027777777777777776	0.0	0.009251646360971888	0.017039315134001278	0.009104520411105278	0.024369357804387277	0.04094222548025586	0.02095173422769047	0.0	0.05555555555555555	0.0	0.0	0.014335538180713722	0.051504431697703995	0.0	0.051654867761475445	0.0	0.0	0.0	0.0	0.01256580899987889	0.023162896695968556	0.07142135552200585	0.0	0.010715463041821083	0.09213243738564558	0.0	0.0	0.0	0.005131815632094454	0.023144641160506334	0.01643403947166664	0.0	0.016834932932521862	0.015497614113511138	0.0	0.004614881081809222	0.037615874392745004	0.0	0.0	0.0	0.0	0.0	0.0	0.045167000704426974	0.005253595244637028	0.03654827729739972	0.06600348892646628	0.0	0.0	0.0	0.0	0.0	0.0	0.0
